uid,domain,rubric_source,n_items,n_subparts,subpart_kind,is_mcq,question_words,reference_words,items_per_subpart,weight_mass,weight_mass_per_criterion,paper_weight_mass,paper_weight_mass_per_criterion,n_subparts_scored,n_orphan_subparts,orphan_subpart_rate,mean_best_subpart_overlap,error,_family,n_criteria,n_question_anchors,generic_criterion_rate,generic_rate_permuted,specificity_lift,weight_mass_on_generic_raw,weight_mass_on_generic_paper,mean_anchors_per_criterion,weak_grounding_rate,recyclable_rate,mass_produced_title_rate,max_title_reuse,title_reuse_ge2_rate,subjective_rate,style_rate,subjective_or_style_rate,generic_and_subjective_rate,weight_mass_on_subjective,weight_mass_on_subjective_paper,mean_trigram_overlap_with_reference,criteria_with_ge50pct_trigram_overlap,criteria_with_ge30pct_trigram_overlap,mean_4gram_overlap_with_question,n_generic,n_criteria_scored,checks,compliance_rate,fully_compliant_rubric,item_count_ok,polarity_single_rate,negative_weight_rate,weight_order_violation_rate,weight_order_violation_pair_rate,pitfall_mirror_rate,n_pitfall_mirrors,max_pitfall_mirror_similarity,pitfall_fraction,weight_band_rate,unclassified_polarity_rate,check_item_count_7_20_rate,check_title_2_to_4_words_rate,check_description_single_sentence_rate,check_category_legal_rate,check_weight_in_range_rate,check_weight_matches_band_rate,check_pitfall_opener_rate,check_rar_keys_only_rate,check_no_verbatim_copy_rate,check_self_contained_rate,n_weight_order_pairs,pitfall_mirror_pairs
med-02a8056b1d15,rar_medicine,shipped,10.0,0.0,none,False,59.0,88.0,10.0,34.0,3.4,7.7,0.77,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-02a8056b1d15,rar_medicine,baseline,7.0,0.0,none,False,59.0,88.0,7.0,24.0,3.4285714285714284,5.3,0.7571428571428571,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-02a8056b1d15,rar_medicine,agentic,10.0,0.0,none,False,59.0,88.0,10.0,29.0,2.9,7.6,0.76,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-02a8056b1d15,rar_medicine,agentic-goldonly,10.0,0.0,none,False,59.0,88.0,10.0,32.0,3.2,6.8,0.6799999999999999,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-02a8056b1d15,rar_medicine,agentic-negonly,10.0,0.0,none,False,59.0,88.0,10.0,27.0,2.7,7.6,0.76,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-27bf6ad66800,rar_medicine,shipped,10.0,0.0,none,False,163.0,61.0,10.0,29.0,2.9,6.8,0.6799999999999999,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-27bf6ad66800,rar_medicine,baseline,10.0,0.0,none,False,163.0,61.0,10.0,30.0,3.0,7.0,0.7,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-27bf6ad66800,rar_medicine,agentic,12.0,0.0,none,False,163.0,61.0,12.0,36.0,3.0,8.299999999999999,0.6916666666666665,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-27bf6ad66800,rar_medicine,agentic-goldonly,7.0,0.0,none,False,163.0,61.0,7.0,23.0,3.2857142857142856,5.8,0.8285714285714285,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-27bf6ad66800,rar_medicine,agentic-negonly,12.0,0.0,none,False,163.0,61.0,12.0,35.0,2.9166666666666665,8.6,0.7166666666666667,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-3e58d5c52834,rar_medicine,shipped,10.0,0.0,none,False,15.0,139.0,10.0,29.0,2.9,6.8,0.6799999999999999,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-3e58d5c52834,rar_medicine,baseline,8.0,0.0,none,False,15.0,139.0,8.0,24.0,3.0,5.8,0.725,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-3e58d5c52834,rar_medicine,agentic,6.0,0.0,none,False,15.0,139.0,6.0,21.0,3.5,4.7,0.7833333333333333,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-3e58d5c52834,rar_medicine,agentic-goldonly,6.0,0.0,none,False,15.0,139.0,6.0,21.0,3.5,4.3999999999999995,0.7333333333333333,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
med-3e58d5c52834,rar_medicine,agentic-negonly,7.0,0.0,none,False,15.0,139.0,7.0,23.0,3.2857142857142856,5.1,0.7285714285714285,0.0,0.0,,,,adaptivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
